zipCode,zone,trange,zonetitle,lastSpringFrost,firstFallFrost
50120,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50122,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50123,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50124,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50125,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50126,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50127,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50128,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50129,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50130,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50131,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50132,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50133,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50134,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50135,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50136,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50137,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50138,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50139,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50140,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50141,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50142,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50143,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50144,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50145,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50146,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50147,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50148,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50149,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50150,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50151,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50152,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50153,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50154,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50155,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50156,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50157,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50158,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50160,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50161,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50162,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50163,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50164,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50165,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50166,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50167,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50168,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50169,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50170,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50171,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50173,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50174,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50201,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50206,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50207,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50208,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50210,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50211,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
